dimensao,categoria,anuncios_totais,anuncios_elegiveis,diaria_mediana_anunciada,diaria_p25_anunciada,diaria_p75_anunciada,premio_fim_semana_mediano_percentual,cobertura_elegivel_percentual,potencial_bruto_anualizado_base,status_amostra,ranking,periodo_estadias,unidade_diaria,fonte,bairro,anuncios_comparacao_controlada,diaria_padronizada_apartamentos,estratos_comuns_quartos,potencial_bruto_anualizado_base_controlado,ranking_controlado
bairro,meiapraia,2860,607,589.0,424.5,800.0,0.0,21.223776223776227,118241.75000000001,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Meia Praia,495.0,560.7738998482549,"2, 3",112575.36039453719,2
bairro,centro,657,200,508.75,383.75,713.5,0.0,30.441400304414003,102131.56250000001,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Centro,107.0,669.0273141122914,"2, 3",134307.2333080425,1
bairro,morretes,441,77,470.0,350.0,600.0,0.0,17.46031746031746,94352.50000000001,ranqueavel,3,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Morretes,57.0,542.7881845599393,"2, 3",108964.72805040782,3
bairro,tabuleirodosoliveiras,129,19,550.0,398.0,667.0,0.0,14.728682170542637,110412.50000000001,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Tabuleiro dos Oliveiras,,,,,
bairro,ilhota,56,10,495.0,350.0,588.75,0.0,17.857142857142858,99371.25000000001,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Ilhota,,,,,
bairro,casabranca,88,14,349.5,301.5,392.5,0.0,15.909090909090908,70162.125,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Casa Branca,,,,,
bairro,ausente,5,3,709.0,649.5,754.5,0.0,60.0,142331.75,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",ausente,,,,,
bairro,cantodapraia,28,8,599.75,508.25,794.75,2.083333333333337,28.57142857142857,120399.81250000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Canto da Praia,,,,,
bairro,areal,5,1,556.0,556.0,556.0,0.0,20.0,111617.00000000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Areal,,,,,
bairro,sertaozinho,21,6,500.0,401.75,1363.4375,0.0,28.57142857142857,100375.00000000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Sertaozinho,,,,,
bairro,varzea,43,4,442.5,176.0,900.0,0.0,9.30232558139535,88831.875,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Varzea,,,,,
bairro,sertaodotrombudo,22,3,390.0,380.0,695.0,2.265372168284796,13.636363636363635,78292.5,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Sertao do Trombudo,,,,,
bairro,altosaobento,62,5,280.0,199.0,400.0,0.0,8.064516129032258,56210.00000000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Alto Sao Bento,,,,,
bairro,jardimpraiamar,5,1,200.0,200.0,200.0,0.0,20.0,40150.0,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Jardim Praiamar,,,,,
bairro,leopoldozarling,18,1,200.0,200.0,200.0,0.0,5.555555555555555,40150.0,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Leopoldo Zarling,,,,,
bairro,lameiro,1,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",Lameiro,,,,,
