dimensao,categoria,anuncios_totais,anuncios_elegiveis,diaria_mediana_anunciada,diaria_p25_anunciada,diaria_p75_anunciada,premio_fim_semana_mediano_percentual,cobertura_elegivel_percentual,potencial_bruto_anualizado_base,status_amostra,ranking,periodo_estadias,unidade_diaria,fonte
tipo_anuncio,apartamento,3710,879,553.0,400.0,750.0,0.0,23.692722371967655,111014.75000000001,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
tipo_anuncio,casa,443,64,500.0,349.25,959.5,0.0,14.446952595936793,100375.00000000001,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
tipo_anuncio,outros,288,16,165.0,150.0,235.0,0.0,5.555555555555555,33123.75,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
numero_quartos,4+,432,89,1080.0,849.5,1657.0,0.0,20.60185185185185,216810.00000000003,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
numero_quartos,3,1922,385,650.0,500.0,822.0,0.0,20.031217481789803,130487.50000000001,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
numero_quartos,2,1482,340,450.0,350.0,590.0,0.0,22.941970310391362,90337.50000000001,ranqueavel,3,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
numero_quartos,1,549,137,390.0,311.0,509.0,0.0,24.95446265938069,78292.5,ranqueavel,4,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
numero_quartos,0 (studio),56,8,435.0,325.6,542.5,0.0,14.285714285714285,87326.25,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
capacidade_hospedes,7+,2000,397,700.0,500.0,937.3333,0.0,19.85,140525.0,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
capacidade_hospedes,5–6,1595,372,520.5,394.5,680.0,0.0,23.322884012539184,104490.37500000001,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
capacidade_hospedes,3–4,581,127,479.0,350.0,557.0,0.0,21.858864027538726,96159.25000000001,ranqueavel,3,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
capacidade_hospedes,1–2,265,63,372.0,196.5,427.0,0.0,23.77358490566038,74679.0,ranqueavel,4,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
perfil_combinado,apartamento | 4+ quarto(s) | 7+ hóspede(s),363,70,987.5,800.0,1596.5,0.0,19.28374655647383,198240.62500000003,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
perfil_combinado,apartamento | 3 quarto(s) | 5–6 hóspede(s),518,114,659.625,500.0,817.75,0.0,22.00772200772201,132419.71875,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
perfil_combinado,apartamento | 3 quarto(s) | 7+ hóspede(s),1228,259,650.0,500.0,847.5,0.0,21.091205211726386,130487.50000000001,ranqueavel,3,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20"
