dimensao,categoria,anuncios_totais,anuncios_elegiveis,diaria_mediana_anunciada,diaria_p25_anunciada,diaria_p75_anunciada,premio_fim_semana_mediano_percentual,cobertura_elegivel_percentual,potencial_bruto_anualizado_base,status_amostra,ranking,periodo_estadias,unidade_diaria,fonte,corte_datas,tratamento_extremos
tipo_anuncio,apartamento,3710,906,557.25,400.0,750.0,0.0,24.420485175202156,111867.93750000001,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
tipo_anuncio,casa,443,68,495.0,335.25,911.5,0.0,15.349887133182843,99371.25000000001,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
tipo_anuncio,outros,288,17,160.0,150.0,230.0,0.0,5.902777777777778,32120.000000000004,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
numero_quartos,4+,432,91,1080.0,849.75,1654.125,0.0,21.064814814814813,216810.00000000003,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
numero_quartos,3,1922,399,650.0,500.0,832.5,0.0,20.759625390218524,130487.50000000001,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
numero_quartos,2,1482,350,450.0,350.0,590.0,0.0,23.616734143049932,90337.50000000001,ranqueavel,3,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
numero_quartos,1,549,143,385.0,300.0,509.0,0.0,26.04735883424408,77288.75,ranqueavel,4,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
numero_quartos,0 (studio),56,8,435.0,325.6,542.5,0.0,14.285714285714285,87326.25,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
capacidade_hospedes,7+,2000,411,700.0,500.0,945.0,0.0,20.549999999999997,140525.0,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
capacidade_hospedes,5–6,1595,380,520.5,390.0,680.0,0.0,23.824451410658305,104490.37500000001,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
