dataset,coluna,metrica,valor,severidade,detalhe
bairros,suburb_key,chaves_com_rotulos_variantes_entre_fontes,6,atenção,"{'altosaobento': ['Alto Sao Bento', 'Alto São Bento'], 'centro': ['CENTRO', 'Centro'], 'jardimpraiamar': ['Jardim Praia Mar', 'Jardim Praiamar'], 'meiapraia': ['MEIA PRAIA', 'Meia Praia', 'Meia praia', 'meia praia'], 'sertaodotrombudo': ['Sertao do Trombudo', 'Sertão Do Trombudo', 'Sertão do Trombudo'], 'sertaozinho': ['Sertaozinho', 'Sertãozinho']}"
details,,colunas,35,informativo,
details,,duplicatas_exatas,0,atenção,
details,,linhas,4441,informativo,
details,,linhas_apos_snapshot,4441,informativo,
details,accuracy_rating,fora_escala_0_5,0,erro,
details,accuracy_rating,nulos,0,informativo,
details,accuracy_rating,nulos_percentual,0.0,informativo,
details,accuracy_rating,valor_zero_possivel_sem_avaliacao,1540,atenção,
details,accuracy_rating,valores_nao_interpretaveis,0,atenção,
details,accuracy_rating,valores_unicos,76,informativo,
details,ad_description,nulos,54,atenção,
details,ad_description,nulos_percentual,1.2159,informativo,
details,ad_description,valores_unicos,3981,informativo,
details,ad_name,nulos,0,informativo,
details,ad_name,nulos_percentual,0.0,informativo,
details,ad_name,valores_unicos,4201,informativo,
details,airbnb_listing_id,chave_ausente,0,erro,
details,airbnb_listing_id,entidades_com_multiplos_snapshots,0,atenção,
details,airbnb_listing_id,linhas_em_chaves_duplicadas,0,atenção,
details,airbnb_listing_id,nulos,0,informativo,
details,airbnb_listing_id,nulos_percentual,0.0,informativo,
details,airbnb_listing_id,valores_unicos,4441,informativo,
details,amenities,nulos,0,informativo,
details,amenities,nulos_percentual,0.0,informativo,
details,amenities,valores_unicos,3878,informativo,
details,aquisition_date,data_maxima,2025-01-13 03:01:31,informativo,
details,aquisition_date,data_minima,2025-01-13 01:54:03,informativo,
details,aquisition_date,nulos,0,informativo,
details,aquisition_date,nulos_percentual,0.0,informativo,
details,aquisition_date,valores_nao_interpretaveis,0,atenção,
details,aquisition_date,valores_unicos,2624,informativo,
details,can_instant_book,nulos,355,atenção,
details,can_instant_book,nulos_percentual,7.9937,informativo,
details,can_instant_book,valores_nao_interpretaveis,0,atenção,
details,can_instant_book,valores_unicos,2,informativo,
details,check_in,nulos,446,atenção,
details,check_in,nulos_percentual,10.0428,informativo,
details,check_in,valores_unicos,107,informativo,
details,check_out,nulos,842,atenção,
details,check_out,nulos_percentual,18.9597,informativo,
details,check_out,valores_unicos,19,informativo,
details,checkin_rating,fora_escala_0_5,0,erro,
details,checkin_rating,nulos,0,informativo,
details,checkin_rating,nulos_percentual,0.0,informativo,
details,checkin_rating,valor_zero_possivel_sem_avaliacao,1540,atenção,
details,checkin_rating,valores_nao_interpretaveis,0,atenção,
details,checkin_rating,valores_unicos,65,informativo,
details,cleaning_fee,nulos,0,informativo,
details,cleaning_fee,nulos_percentual,0.0,informativo,
details,cleaning_fee,outliers_iqr,22,atenção,limites: -200.0000 a 600.0000
details,cleaning_fee,valores_nao_interpretaveis,0,atenção,
details,cleaning_fee,valores_negativos,0,erro,
details,cleaning_fee,valores_unicos,139,informativo,
details,cleanliness_rating,fora_escala_0_5,0,erro,
details,cleanliness_rating,nulos,0,informativo,
details,cleanliness_rating,nulos_percentual,0.0,informativo,
details,cleanliness_rating,valor_zero_possivel_sem_avaliacao,1540,atenção,
details,cleanliness_rating,valores_nao_interpretaveis,0,atenção,
details,cleanliness_rating,valores_unicos,93,informativo,
details,communication_rating,fora_escala_0_5,0,erro,
details,communication_rating,nulos,0,informativo,
details,communication_rating,nulos_percentual,0.0,informativo,
details,communication_rating,valor_zero_possivel_sem_avaliacao,1540,atenção,
details,communication_rating,valores_nao_interpretaveis,0,atenção,
details,communication_rating,valores_unicos,67,informativo,
details,guest_satisfaction_overall,fora_escala_0_100,0,erro,
details,guest_satisfaction_overall,nulos,0,informativo,
details,guest_satisfaction_overall,nulos_percentual,0.0,informativo,
