dimensao,categoria,total_anuncios,anuncios_com_preco,anuncios_elegiveis,diaria_mediana_segmento,diaria_p25_entre_anuncios,diaria_p75_entre_anuncios,cobertura_preco_percentual,cobertura_elegivel_percentual
global,todos,4441,999,959,550.0,400.0,750.0,22.494933573519475,21.594235532537716
bairro,__ausente__,5,3,3,709.0,649.5,754.5,60.0,60.0
bairro,altosaobento,62,5,5,280.0,199.0,400.0,8.064516129032258,8.064516129032258
bairro,areal,5,1,1,556.0,556.0,556.0,20.0,20.0
bairro,cantodapraia,28,9,8,599.75,508.25,794.75,32.142857142857146,28.57142857142857
bairro,casabranca,88,15,14,349.5,301.5,392.5,17.045454545454543,15.909090909090908
bairro,centro,657,205,200,508.75,383.75,713.5,31.202435312024352,30.441400304414003
bairro,ilhota,56,10,10,495.0,350.0,588.75,17.857142857142858,17.857142857142858
bairro,jardimpraiamar,5,1,1,200.0,200.0,200.0,20.0,20.0
bairro,lameiro,1,0,0,,,,0.0,0.0
bairro,leopoldozarling,18,1,1,200.0,200.0,200.0,5.555555555555555,5.555555555555555
bairro,meiapraia,2860,632,607,589.0,424.5,800.0,22.097902097902097,21.223776223776227
bairro,morretes,441,83,77,470.0,350.0,600.0,18.820861678004537,17.46031746031746
bairro,sertaodotrombudo,22,3,3,390.0,380.0,695.0,13.636363636363635,13.636363636363635
bairro,sertaozinho,21,6,6,500.0,401.75,1363.4375,28.57142857142857,28.57142857142857
bairro,tabuleirodosoliveiras,129,20,19,550.0,398.0,667.0,15.503875968992247,14.728682170542637
bairro,varzea,43,5,4,442.5,176.0,900.0,11.627906976744185,9.30232558139535
numero_quartos,0,56,8,8,435.0,325.6,542.5,14.285714285714285,14.285714285714285
numero_quartos,1,549,144,137,390.0,311.0,509.0,26.229508196721312,24.95446265938069
numero_quartos,10,2,0,0,,,,0.0,0.0
numero_quartos,11,1,0,0,,,,0.0,0.0
numero_quartos,12,4,1,1,2500.0,2500.0,2500.0,25.0,25.0
numero_quartos,16,1,0,0,,,,0.0,0.0
numero_quartos,2,1482,351,340,450.0,350.0,590.0,23.684210526315788,22.941970310391362
numero_quartos,3,1922,404,385,650.0,500.0,822.0,21.019771071800207,20.031217481789803
numero_quartos,4,371,80,77,1000.0,800.0,1604.0,21.563342318059302,20.754716981132077
numero_quartos,5,41,7,7,1500.0,1175.0,1998.5,17.073170731707318,17.073170731707318
numero_quartos,6,6,2,2,2575.625,2113.4375,3037.8125,33.33333333333333,33.33333333333333
numero_quartos,7,5,2,2,1325.0,1312.5,1337.5,40.0,40.0
numero_quartos,8,1,0,0,,,,0.0,0.0
tipo_anuncio,apartamento,3710,911,879,553.0,400.0,750.0,24.555256064690028,23.692722371967655
tipo_anuncio,casa,443,70,64,500.0,349.25,959.5,15.80135440180587,14.446952595936793
tipo_anuncio,hotel,43,1,1,330.0,330.0,330.0,2.3255813953488373,2.3255813953488373
tipo_anuncio,outros,245,17,15,160.0,150.0,205.0,6.938775510204081,6.122448979591836
