segmento,rotulo,cenario,anuncios_airbnb,anuncios_vivareal,metrica_diaria,diaria_usada,metrica_preco,preco_compra_usado,ocupacao_assumida,custo_variavel_assumido,preparacao_assumida,receita_bruta_anual,custos_variaveis_anuais,custos_fixos_anuais,potencial_liquido_anual,itbi_estimado,cartorio_estimado,preparacao_estimada,investimento_total_estimado,retorno_liquido_estimado_percentual,payback_estimado_anos,ocupacao_equilibrio_percentual
centro_1q,Centro | 1 quarto,conservador,78,22,p25,376.25,p75,980000.0,0.4,0.4,0.08,54932.5,21973.0,7000.0,25959.5,14700.0,7159.85,78400.0,1080259.85,2.4030792220964243,41.61327644985459,8.495274503557395
centro_1q,Centro | 1 quarto,base,78,22,mediana,445.0,mediana,890000.0,0.55,0.3,0.05,89333.75,26800.125,7000.0,55533.625,13350.0,6914.39,44500.0,954764.39,5.816474261257272,17.19254577744565,6.156687702016315
centro_1q,Centro | 1 quarto,otimista,78,22,p75,523.999975,p25,652500.0,0.7,0.2,0.03,133881.9936125,26776.398722500002,7000.0,100105.59489,9787.5,6300.74,19575.0,688163.24,14.546780338048862,6.8743734129564,4.57492440523991
centro_2q,Centro | 2 quartos,conservador,64,89,p25,370.0,p75,1550000.0,0.4,0.4,0.08,54020.0,21608.0,7000.0,25412.0,23250.0,8509.880000000001,124000.0,1705759.88,1.4897759232090746,67.12418857232802,8.638775762063434
centro_2q,Centro | 2 quartos,base,64,89,mediana,568.5,mediana,1150000.0,0.55,0.3,0.05,114126.37500000001,34237.912500000006,7000.0,72888.46250000001,17250.0,7528.04,57500.0,1232278.04,5.9149364132140185,16.906352497145896,4.819219045553668
centro_2q,Centro | 2 quartos,otimista,64,89,p75,709.8750125,p25,889000.0,0.7,0.2,0.03,181373.06569375002,36274.613138750006,7000.0,138098.45255500003,13335.0,6914.39,26670.0,935919.39,14.755378938671207,6.777189553425694,3.3770174069517664
centro_3q,Centro | 3 quartos,conservador,43,437,p25,520.5,p75,2790000.0,0.4,0.4,0.08,75993.0,30397.2,8704.0,36891.8,41850.0,11578.130000000001,223200.0,3066628.13,1.2030085956330154,83.12492559322125,7.635791015839179
centro_3q,Centro | 3 quartos,base,43,437,mediana,750.0,mediana,2100000.0,0.55,0.3,0.05,150562.5,45168.75,8704.0,96689.75,31500.0,9859.91,105000.0,2246359.91,4.304285772265229,23.2326581669722,4.542204827136334
centro_3q,Centro | 3 quartos,otimista,43,437,p75,850.0,p25,1750000.0,0.7,0.2,0.03,217175.0,43435.0,8704.0,165036.0,26250.0,9000.8,52500.0,1837750.8,8.980325297641008,11.135454082745584,3.506849315068493
meiapraia_1q,Meia Praia | 1 quarto,conservador,20,58,p25,373.5,p75,1003755.25,0.4,0.4,0.08,54531.0,21812.4,9730.0,22988.6,15056.328749999999,7159.85,80300.42,1106271.84875,2.078024495152372,48.122628117849715,11.895374496463786
meiapraia_1q,Meia Praia | 1 quarto,base,20,58,mediana,441.0,mediana,877500.0,0.55,0.3,0.05,88530.75,26559.225,9730.0,52241.525,13162.5,6914.39,43875.0,941451.89,5.5490381988611235,18.021141036751892,8.635417637374584
