segmento,rotulo,metrica_diaria,metrica_preco,ocupacao_assumida,custo_variavel_assumido,preparacao_assumida,diaria_usada,preco_compra_usado,receita_bruta_anual,custos_variaveis_anuais,custos_fixos_anuais,potencial_liquido_anual,itbi_estimado,cartorio_estimado,preparacao_estimada,investimento_total_estimado,retorno_liquido_estimado_percentual,payback_estimado_anos,ocupacao_equilibrio_percentual
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.2,0.03,376.25,652500.0,54932.5,10986.5,7000.0,36946.0,9787.5,6300.74,19575.0,688163.24,5.368784301817691,18.626190656634005,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.2,0.05,376.25,652500.0,54932.5,10986.5,7000.0,36946.0,9787.5,6300.74,32625.0,701213.24,5.2688679979858914,18.979408866995072,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.2,0.08,376.25,652500.0,54932.5,10986.5,7000.0,36946.0,9787.5,6300.74,52200.0,720788.24,5.125777301805035,19.509236182536675,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.3,0.03,376.25,652500.0,54932.5,16479.75,7000.0,31452.75,9787.5,6300.74,19575.0,688163.24,4.5705362001027545,21.879270969946983,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.3,0.05,376.25,652500.0,54932.5,16479.75,7000.0,31452.75,9787.5,6300.74,32625.0,701213.24,4.485475773389561,22.2941790463473,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.3,0.08,376.25,652500.0,54932.5,16479.75,7000.0,31452.75,9787.5,6300.74,52200.0,720788.24,4.363660261715702,22.91654116094777,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.4,0.03,376.25,652500.0,54932.5,21973.0,7000.0,25959.5,9787.5,6300.74,19575.0,688163.24,3.772288098387819,26.509109959744986,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.4,0.05,376.25,652500.0,54932.5,21973.0,7000.0,25959.5,9787.5,6300.74,32625.0,701213.24,3.7020835487932313,27.01181609815289,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p25,0.4,0.4,0.08,376.25,652500.0,54932.5,21973.0,7000.0,25959.5,9787.5,6300.74,52200.0,720788.24,3.6015432216263688,27.765875305764748,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.2,0.03,376.25,652500.0,75532.1875,15106.4375,7000.0,53425.75,9787.5,6300.74,19575.0,688163.24,7.7635286069625,12.880740841261002,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.2,0.05,376.25,652500.0,75532.1875,15106.4375,7000.0,53425.75,9787.5,6300.74,32625.0,701213.24,7.61904467177488,13.125005077139768,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.2,0.08,376.25,652500.0,75532.1875,15106.4375,7000.0,53425.75,9787.5,6300.74,52200.0,720788.24,7.412128422073034,13.491401430957918,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.3,0.03,376.25,652500.0,75532.1875,22659.65625,7000.0,45872.53125,9787.5,6300.74,19575.0,688163.24,6.665937467104461,15.001640878494142,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.3,0.05,376.25,652500.0,75532.1875,22659.65625,7000.0,45872.53125,9787.5,6300.74,32625.0,701213.24,6.541880362954927,15.286124852767962,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.3,0.08,376.25,652500.0,75532.1875,22659.65625,7000.0,45872.53125,9787.5,6300.74,52200.0,720788.24,6.3642174919502015,15.712850814178692,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.4,0.03,376.25,652500.0,75532.1875,30212.875,7000.0,38319.3125,9787.5,6300.74,19575.0,688163.24,5.568346327246425,17.958653094311124,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.4,0.05,376.25,652500.0,75532.1875,30212.875,7000.0,38319.3125,9787.5,6300.74,32625.0,701213.24,5.464716054134974,18.299212440202314,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p25,0.55,0.4,0.08,376.25,652500.0,75532.1875,30212.875,7000.0,38319.3125,9787.5,6300.74,52200.0,720788.24,5.316306561827369,18.810051459039094,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p25,0.7,0.2,0.03,376.25,652500.0,96131.875,19226.375,7000.0,69905.5,9787.5,6300.74,19575.0,688163.24,10.158272912107307,9.844193089241905,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p25,0.7,0.2,0.05,376.25,652500.0,96131.875,19226.375,7000.0,69905.5,9787.5,6300.74,32625.0,701213.24,9.96922134556387,10.03087367946728,6.371455877668048
