segmento,rotulo,corte_datas,tratamento_extremos,metrica_diaria,metrica_compra,cenario_ocupacao,ocupacao_assumida,anuncios_airbnb,anuncios_vivareal,diaria_usada,preco_compra_usado,retorno_bruto_indicativo_percentual,comparavel_ranqueavel,ranking_no_cenario
centro_studio,Centro | studio,7,completa,p25,p25,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p25,p25,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p25,p25,otimista,0.7,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p25,mediana,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p25,mediana,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p25,mediana,otimista,0.7,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p25,p75,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p25,p75,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p25,p75,otimista,0.7,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,p25,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,p25,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,p25,otimista,0.7,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,mediana,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,mediana,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,mediana,otimista,0.7,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,p75,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,p75,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,mediana,p75,otimista,0.7,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,p25,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,p25,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,p25,otimista,0.7,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,mediana,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,mediana,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,mediana,otimista,0.7,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,p75,conservador,0.4,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,p75,base,0.55,0,0,,,,False,
centro_studio,Centro | studio,7,completa,p75,p75,otimista,0.7,0,0,,,,False,
centro_1q,Centro | 1 quarto,7,completa,p25,p25,conservador,0.4,78,22,376.25,652500.0,8.418773946360153,True,1
centro_1q,Centro | 1 quarto,7,completa,p25,p25,base,0.55,78,22,376.25,652500.0,11.575814176245212,True,1
centro_1q,Centro | 1 quarto,7,completa,p25,p25,otimista,0.7,78,22,376.25,652500.0,14.732854406130269,True,1
centro_1q,Centro | 1 quarto,7,completa,p25,mediana,conservador,0.4,78,22,376.25,890000.0,6.172191011235955,True,3
centro_1q,Centro | 1 quarto,7,completa,p25,mediana,base,0.55,78,22,376.25,890000.0,8.486762640449438,True,3
centro_1q,Centro | 1 quarto,7,completa,p25,mediana,otimista,0.7,78,22,376.25,890000.0,10.80133426966292,True,3
centro_1q,Centro | 1 quarto,7,completa,p25,p75,conservador,0.4,78,22,376.25,980000.0,5.605357142857144,True,1
centro_1q,Centro | 1 quarto,7,completa,p25,p75,base,0.55,78,22,376.25,980000.0,7.707366071428572,True,1
